"Fecha y Hora del Equipo","Fecha y Hora de Registro","Velocidad (Km/h)","Latitud","Longitud"
"2025-11-27 13:18:04","2025-11-27 13:18:05","50.00","-0.34729611111111114","-78.46045333333333"
"2025-11-27 13:18:09","2025-11-27 13:18:10","51.00","-0.34772444444444445","-78.46095111111111"
"2025-11-27 13:18:14","2025-11-27 13:18:15","43.00","-0.34814055555555556","-78.46140444444444"
"2025-11-27 13:18:19","2025-11-27 13:18:20","35.00","-0.34851","-78.46176"
"2025-11-27 13:18:24","2025-11-27 13:18:26","23.00","-0.34879333333333334","-78.46200888888889"
"2025-11-27 13:18:29","2025-11-27 13:18:31","10.00","-0.3489611111111111","-78.46213333333333"
"2025-11-27 13:18:54","2025-11-27 13:18:55","9.00","-0.349135","-78.46226666666666"
"2025-11-27 13:18:59","2025-11-27 13:19:00","8.00","-0.3492133333333333","-78.46235555555556"
"2025-11-27 13:19:04","2025-11-27 13:19:05","8.00","-0.34928444444444445","-78.46241777777777"
"2025-11-27 13:19:26","2025-11-27 13:19:27","0","-0.34955444444444445","-78.4625688888889"
"2025-11-27 13:19:29","2025-11-27 13:19:30","8.00","-0.34959055555555557","-78.46261333333334"
"2025-11-27 13:19:39","2025-11-27 13:19:40","8.00","-0.34973777777777776","-78.46274666666666"
"2025-11-27 13:20:04","2025-11-27 13:20:05","13.00","-0.3499038888888889","-78.46283555555556"
"2025-11-27 13:20:09","2025-11-27 13:20:10","8.00","-0.3500083333333333","-78.46293333333334"
"2025-11-27 13:20:14","2025-11-27 13:20:15","10.00","-0.3500933333333333","-78.46299555555555"
"2025-11-27 13:20:19","2025-11-27 13:20:20","12.00","-0.35022444444444445","-78.46309333333333"
"2025-11-27 13:20:24","2025-11-27 13:20:25","18.00","-0.35037833333333335","-78.4632"
"2025-11-27 13:20:29","2025-11-27 13:20:30","25.00","-0.35062611111111114","-78.46340444444445"
"2025-11-27 13:20:34","2025-11-27 13:20:35","18.00","-0.3508705555555556","-78.46361777777778"
"2025-11-27 13:20:49","2025-11-27 13:20:50","16.00","-0.35108666666666666","-78.46379555555555"
"2025-11-27 13:20:54","2025-11-27 13:20:55","26.00","-0.35131555555555555","-78.46397333333333"
"2025-11-27 13:20:59","2025-11-27 13:21:00","25.00","-0.35157333333333335","-78.46421333333333"
"2025-11-27 13:21:04","2025-11-27 13:21:05","30.00","-0.35186555555555554","-78.46443555555555"
"2025-11-27 13:21:09","2025-11-27 13:21:10","32.00","-0.352175","-78.46467555555556"
"2025-11-27 13:21:14","2025-11-27 13:21:17","23.00","-0.3524388888888889","-78.46487111111111"
"2025-11-27 13:21:19","2025-11-27 13:21:20","13.00","-0.35262166666666667","-78.46504"
"2025-11-27 13:21:24","2025-11-27 13:21:25","9.00","-0.352715","-78.46511111111111"
"2025-11-27 13:21:34","2025-11-27 13:21:35","8.00","-0.3528233333333333","-78.46519111111111"
"2025-11-27 13:21:39","2025-11-27 13:21:40","13.00","-0.35294333333333333","-78.46528888888889"
"2025-11-27 13:21:44","2025-11-27 13:21:45","11.00","-0.35306","-78.46536888888889"
"2025-11-27 13:21:49","2025-11-27 13:21:50","14.00","-0.3531916666666667","-78.46545777777777"
"2025-11-27 13:21:54","2025-11-27 13:21:55","15.00","-0.35335666666666665","-78.46559111111111"
"2025-11-27 13:22:04","2025-11-27 13:22:06","19.00","-0.35357555555555553","-78.46577777777777"
"2025-11-27 13:22:09","2025-11-27 13:22:11","26.00","-0.35382555555555556","-78.46595555555555"
"2025-11-27 13:22:14","2025-11-27 13:22:16","22.00","-0.3540727777777778","-78.46616"
"2025-11-27 13:22:19","2025-11-27 13:22:21","12.00","-0.35424555555555554","-78.46630222222223"
"2025-11-27 13:22:24","2025-11-27 13:22:26","10.00","-0.35435444444444447","-78.4664"
"2025-11-27 13:22:29","2025-11-27 13:22:31","17.00","-0.3544933333333333","-78.46650666666666"
"2025-11-27 13:22:34","2025-11-27 13:22:36","15.00","-0.3546638888888889","-78.46664"
"2025-11-27 13:22:39","2025-11-27 13:22:41","8.00","-0.3547883333333333","-78.4667288888889"
"2025-11-27 13:22:51","2025-11-27 13:22:53","0","-0.3548238888888889","-78.46676444444445"
"2025-11-27 13:23:04","2025-11-27 13:23:05","13.00","-0.35493","-78.46684444444445"
"2025-11-27 13:23:09","2025-11-27 13:23:10","17.00","-0.35509722222222223","-78.46696888888889"
"2025-11-27 13:23:14","2025-11-27 13:23:15","15.00","-0.35523944444444444","-78.46708444444444"
"2025-11-27 13:23:19","2025-11-27 13:23:20","17.00","-0.3554177777777778","-78.46721777777778"
"2025-11-27 13:23:24","2025-11-27 13:23:25","13.00","-0.35557333333333335","-78.46735111111111"
"2025-11-27 13:23:29","2025-11-27 13:23:30","12.00","-0.35572","-78.46747555555555"
"2025-11-27 13:23:34","2025-11-27 13:23:35","13.00","-0.3558455555555556","-78.46757333333333"
"2025-11-27 13:23:39","2025-11-27 13:23:40","16.00","-0.3559866666666667","-78.46768888888889"
"2025-11-27 13:23:44","2025-11-27 13:23:45","10.00","-0.3561172222222222","-78.46781333333334"
"2025-11-27 13:23:49","2025-11-27 13:23:50","13.00","-0.3562266666666667","-78.46790222222222"
"2025-11-27 13:23:54","2025-11-27 13:23:55","11.00","-0.356355","-78.46799111111112"
"2025-11-27 13:23:59","2025-11-27 13:24:00","11.00","-0.3564538888888889","-78.46808888888889"
"2025-11-27 13:24:04","2025-11-27 13:24:05","8.00","-0.3565583333333333","-78.46815111111111"
"2025-11-27 13:24:24","2025-11-27 13:24:26","7.00","-0.3566211111111111","-78.46819555555555"
"2025-11-27 13:24:29","2025-11-27 13:24:30","10.00","-0.35672444444444446","-78.46828444444445"
"2025-11-27 13:24:34","2025-11-27 13:24:35","11.00","-0.3568422222222222","-78.46838222222222"
"2025-11-27 13:25:23","2025-11-27 13:25:24","0","-0.35710333333333333","-78.46863111111111"
"2025-11-27 13:25:29","2025-11-27 13:25:30","7.00","-0.3571166666666667","-78.46864"
"2025-11-27 13:25:34","2025-11-27 13:25:35","16.00","-0.3572727777777778","-78.46874666666666"
"2025-11-27 13:25:39","2025-11-27 13:25:40","22.00","-0.35748833333333335","-78.46890666666667"
"2025-11-27 13:25:44","2025-11-27 13:25:45","26.00","-0.35774","-78.46910222222222"
"2025-11-27 13:25:49","2025-11-27 13:25:50","35.00","-0.35802388888888886","-78.46933333333334"
"2025-11-27 13:25:54","2025-11-27 13:25:55","33.00","-0.3583633333333333","-78.46960888888889"
"2025-11-27 13:25:59","2025-11-27 13:26:00","39.00","-0.3587383333333333","-78.46988444444445"
"2025-11-27 13:26:04","2025-11-27 13:26:05","31.00","-0.35908944444444446","-78.47014222222222"
"2025-11-27 13:26:09","2025-11-27 13:26:10","38.00","-0.3594333333333333","-78.47040888888888"
"2025-11-27 13:26:14","2025-11-27 13:26:15","43.00","-0.3598427777777778","-78.47072"
